Index,Directors,Genres,Number of movies,Number of awards,Number of Facebook Likes
160,Camille Delamarre,"Adventure, Animation, Comedy, Family",7,14,11
161,Carl Franklin,"Action, Crime, Drama, Horror, Thriller",32,1,73
162,Carl Rinsch,"Action, Adventure, Crime, Drama, Fiction, Music, Science, Thriller",6,0,47
163,Carlos Saldanha,"Comedy, Drama, Romance",12,2,107
164,Carol Reed,"Animation, Family",35,1,82
165,Carroll Ballard,"Action, Adventure, Crime, Drama, History, Music, Thriller, War",13,1,19
166,Catherine Hardwicke,"Action, Drama, Horror, Mystery, Thriller",22,23,308
167,Cecil B. DeMille,"Comedy, Crime, Drama, Mystery, Romance",80,1,309
168,Cedric Nicolas-Troyan,Drama,4,1,19
169,Charles Binam\u00e9,"Comedy, Drama, Romance",0,0,0
170,Charles Ferguson,"Adventure, Animation, Comedy, Drama, Family",4,1,117
171,Charles Herman-Wurmfeld,"Comedy, Romance",10,5,0
172,Charles Martin Smith,"Action, Adventure, Crime, Drama, Fantasy, Fiction, Horror, Mystery, Science, Thriller",18,17,188
173,Charles S. Dutton,"Action, Adventure, Drama, Fantasy",7,1,534
174,Charles Shyer,"Drama, Thriller",11,1,14
175,Charles Stone III,"Animation, Family",23,6,30
176,Charlie Kaufman,"Action, Adventure, Comedy, Drama, Fiction, Romance, Science, Thriller",4,1,0
177,Chris Buck,"Drama, History, War",7,1,69
178,Chris Carter,"Action, Animation, Comedy, Crime, Drama, Fiction, Music, Romance, Science, Thriller",7,8,251
179,Chris Columbus,"Comedy, Fantasy, Romance",22,1,0
180,Chris Gorak,"Action, Adventure, Comedy, Crime, Drama, Fiction, History, Horror, Mystery, Romance, Science, Thriller, War",2,7,21
181,Chris Kentis,"Adventure, Comedy, Crime, Drama, Family, Fantasy, Romance",3,0,9
182,Chris Koch,"Horror, Thriller",39,2,13
183,Chris Miller,"Action, Crime, Thriller",9,1,50
184,Chris Morris,"Action, Drama, Music, Romance, Western",7,2,0
185,Chris Nahon,"Action, Adventure, Crime, Drama, Fantasy, History, Romance",7,0,20
186,Chris Noonan,"Action, Adventure, Comedy, Crime, Family, Fiction, Horror, Mystery, Science, Thriller",12,2,108
187,Chris Paine,"Adventure, Animation, Family",4,2,2
188,Chris Renaud,"Action, Adventure, Animation, Comedy, Drama, Family, Fantasy, Fiction, Horror, Mystery, Romance, Science, Thriller",8,2,0
189,Chris Rock,"Drama, Mystery, Thriller",7,4,0
190,Chris Sanders,Drama,4,3,0
191,Chris Wedge,"Drama, History, Romance",7,1,77
192,Chris Weitz,"Drama, History, War",8,1,129
193,Chris Williams,Documentary,0,2,0
194,Christian Alvart,"Drama, War",16,9,22
195,Christian Carion,"Drama, Romance",6,1,13
196,Christian Ditter,"Crime, Drama, Horror, Mystery, Thriller",13,14,11
197,Christian Duguay,Drama,32,3,18
198,Christian E. Christiansen,"Action, Adventure, Comedy, Crime, Drama, Romance, Thriller, War",15,1,26
199,Christian Robinson,"Action, Adventure, Comedy, Family, Fantasy, Horror, Thriller, Western",0,0,0
200,Christian Volckman,"Action, Comedy, Crime",10,9,2
201,Christine Jeffs,"Adventure, Crime, Drama, Mystery, Thriller",5,7,19
202,Christophe Gans,"Adventure, Fantasy, History",7,8,50
203,Christopher B. Landon,Western,8,3,0
204,Christopher Cain,"Action, Comedy",22,3,58
205,Christopher Erskin,"Action, Comedy, Drama, Fantasy, Horror, Thriller",9,0,4
206,Christopher Guest,"Action, Adventure, Comedy, Crime, Drama, Family, Fantasy, Music",17,1,378
207,Christopher McQuarrie,"Drama, History, Romance",6,1,188
208,Christopher Nolan,"Action, Adventure, Fantasy",15,5,22000
209,Christopher Spencer,"Comedy, Crime, Drama, Family, Fantasy, Fiction, Romance, Science",32,3,25
210,Chuck Russell,"Comedy, Crime, Drama, History, Romance, Thriller, War",9,6,55
211,Chuck Sheetz,"Animation, Comedy, Drama, Family",17,1,6
212,Ciaran Foy,"Adventure, Comedy, Drama, Fiction, Horror, Mystery, Romance, Science, Thriller, War",11,16,0
213,Clare Kilner,"Animation, Family",17,6,6
214,Clark Gregg,"Action, Comedy, Crime, Fantasy",4,8,0
215,Clark Johnson,"Action, Fiction, Science, Thriller",66,1,69
216,Clint Eastwood,"Action, Crime, Drama, Horror, Mystery, Thriller",41,4,16000
217,Clive Barker,Drama,6,17,385
218,Cody Cameron,"Drama, History",5,2,18
219,Colin Higgins,"Adventure, Animation, Family",3,1,19
220,Colin Strause,"Action, Thriller",14,6,25
221,Colin Trevorrow,"Action, Comedy, Crime, Drama, Fiction, Mystery, Romance, Science, Thriller, War",8,16,365
222,Conrad Vernon,"Action, Adventure, Fantasy, Fiction, Science",8,13,0
223,Corey Yuen Kwai,"Crime, Drama, Thriller",32,22,0
224,Cory Edwards,"Drama, Fantasy, History, Romance, War",6,0,19
225,Costa-Gavras,"Action, Adventure, Comedy, Drama, Family, Fantasy, Fiction, Mystery, Science, Thriller",24,1,333
226,Courtney Solomon,"Adventure, Comedy, Family, Fantasy",3,1,31
227,Craig Brewer,Drama,14,11,153
228,Craig Gillespie,"Horror, Thriller",11,17,44
229,Craig Mazin,"Drama, History, Music, Romance",2,2,82
230,Craig R. Baxley,"Adventure, Crime, Drama, Mystery, Western",33,2,22
231,Cristian Mungiu,"Action, Adventure, Thriller",12,97,163
232,Curtis Hanson,"Comedy, Drama, Romance",18,1,161
233,Cyrus Nowrasteh,"Drama, Thriller",7,6,19
234,D.J. Caruso,"Animation, Fantasy",34,0,154
235,D.W. Griffith,"Drama, Fiction, Mystery, Science, Thriller",520,4,204
236,Daisy von Scherler Mayer,"Adventure, Crime, Drama, War",42,4,18
237,Damien Chazelle,"Adventure, Animation, Comedy, Crime, Drama, Family, Romance",7,1,141
238,Damien O'Donnell,"Comedy, Crime, Drama, Fantasy, Horror, Mystery, Romance, Thriller",9,38,70
239,Dan Cutforth,"Action, Adventure, Fiction, Science, Thriller",5,1,4
240,Dan Fogelman,"Action, Drama, Fantasy, Fiction, History, Romance, Science",3,3,102
241,Dan Gilroy,"Action, Adventure, Drama, Thriller",3,1,66
242,Dan Mazer,"Animation, Comedy, Family, Fantasy, Fiction, Science",11,1,11
243,Dan O'Bannon,"Comedy, Drama, Romance",3,12,228
244,Dan Rush,"Action, Adventure, Animation, Family, Fantasy, Fiction, Horror, Mystery, Science, Thriller, War",1,1,7
245,Dan Scanlon,"Action, Adventure, Drama, History, War",4,1,37
246,Dan St. Pierre,"Comedy, Romance",4,2,0
247,Dan Trachtenberg,Comedy,6,5,16
248,Daniel Barber,"Action, Adventure, Horror, Thriller",4,1,12
249,Daniel Barnz,Documentary,8,4,33
250,Daniel Espinosa,"Action, Animation, Fiction, Science",11,6,79
251,Daniel Lee,"Action, Adventure, Comedy, Romance",15,6,10
252,Daniel Sackheim,"Horror, Thriller",50,1,12
253,Daniel Stamm,Drama,10,4,13
254,Danny Boyle,"Adventure, Animation, Family",30,1,0
255,Danny Cannon,"Horror, Thriller",26,3,41
256,Danny DeVito,"Adventure, Animation, Comedy, Family, Fiction, Science",23,1,0
257,Danny Leiner,"Documentary, Music",31,1,8
258,Danny Pang,Comedy,23,20,15
259,Danny Steinmann,Comedy,4,0,13
260,Dany Boon,"Action, Drama, Thriller",10,12,172
261,Darren Aronofsky,"Adventure, Animation, Family, Fantasy",14,1,0
262,Darren Lynn Bousman,"Action, Adventure, Fiction, Horror, Science",22,9,163
263,Darren Stein,Drama,8,5,18
264,Dave Green,"Action, Comedy, Romance, Thriller",9,3,13
265,Dave McKean,"Drama, Romance",15,8,21
266,David Atkins,"Action, Comedy, Thriller",0,0,8
267,David Ayer,"Adventure, Comedy, Family, Fantasy",15,5,452
268,David Bowers,Comedy,9,1,42
269,David Boyd,Music,30,8,29
270,David Carson,Drama,49,2,18
271,David Cronenberg,"Comedy, Crime",42,147,0
272,David Dobkin,Comedy,25,2,71
273,David E. Talbert,Comedy,16,2,68
274,David Evans ,"Action, Drama, History",32,1,0
275,David F. Sandberg,"Comedy, Drama, Family",20,7,26
276,David Fincher,"Horror, Thriller",94,2,21000
277,David Frankel,"Comedy, Family",23,1,64
278,David Gelb,"Documentary, Music",14,4,26
279,David Gordon Green,"Comedy, Romance",26,55,234
280,David Hackl,"Action, Adventure, Fantasy, War",6,1,43
281,David Hand,"Fiction, Horror, Science",34,2,0
282,David Jacobson,"Drama, Music, Romance",6,3,12
283,David Koepp,Documentary,10,15,192
284,David Lean,"Horror, Thriller",19,2,767
285,David Leland,"Action, Adventure, Fiction, Science",14,1,2
286,David Lowery,"Adventure, Thriller",24,45,38
287,David Lynch,"Adventure, Comedy",82,4,0
288,David Mamet,"Drama, Romance",20,2,342
289,David McNally,"Action, Fantasy, Fiction, Science",0,0,18
290,David Moreau,"Adventure, Comedy, Family, Fantasy",5,2,0
291,David Nutter,"Action, Adventure, Animation, Comedy, Family",50,3,119
292,David O. Russell,"Action, Adventure, Thriller",13,5,737
293,David R. Ellis,"Comedy, Crime",7,2,160
294,David Raynr,"Comedy, Romance",7,0,9
295,David Robert Mitchell,Drama,4,34,421
296,David S. Goyer,"Adventure, Fiction, Science",7,19,687
297,David S. Ward,"Crime, Drama, Thriller",6,1,42
298,David Schwimmer,"Drama, Horror",11,2,0
299,David Silverman,"Adventure, Animation, Comedy, Family",12,1,30
300,David Slade,Comedy,30,13,171
301,David Soren,"Adventure, Animation, Comedy, Family",6,4,13
302,David Twohy,"Action, Crime, Thriller",10,9,123
303,David Wain,"Action, Comedy, Crime",31,3,136
304,David Yates,Documentary,27,1,282
305,David Zucker,"Action, Crime, Thriller",14,1,119
306,Davis Guggenheim,"Comedy, Drama, Romance",39,1,49
307,Dax Shepard,"Animation, Comedy, Family, Fiction, Science",6,2,0
308,Dean DeBlois,"Comedy, Romance",6,3,255
309,Dean Israelite,"Action, Adventure, Animation, Fantasy, Fiction, Science",7,3,16
310,Dean Parisot,"Comedy, Romance",39,1,23
311,Dean Wright,"Adventure, Drama, Romance",1,1,0
312,Deb Hagan,"Drama, History",3,12,0
313,Deborah Kaplan,"Action, Adventure, Comedy, Thriller",4,1,0
314,Debra Granik,"Comedy, Family",6,1,81
315,Demian Lichtenstein,"Horror, Thriller",9,1,11
316,Denis Villeneuve,Drama,19,1,777
317,Dennie Gordon,"Animation, Comedy, Family",75,1,29
318,Dennis Dugan,"Drama, Fiction, Horror, Science, Thriller",39,5,221
319,Dennis Gansel,"Comedy, Drama, Music, Romance",15,20,23
320,Dennis Iliadis,"Action, Drama, History, Thriller",7,4,29
321,Denys Arcand,"Horror, Thriller",28,1,66
322,Denzel Washington,Comedy,4,2,18000
323,Derek Cianfrance,"Comedy, Horror, Thriller",16,26,310
324,Derrick Borte,"Animation, Family",7,2,17
325,Des McAnuff,"Drama, Romance",6,1,5
326,Dewey Nicks,"Comedy, Drama, Romance",3,1,4
327,Dexter Fletcher,"Animation, Comedy, Drama, Family, Fantasy, Romance",5,2,452
328,Diane English,"Action, Adventure, Crime, Thriller",2,3,15
329,Diane Keaton,"Drama, Music",12,1,0
330,DJ Pooh,Comedy,3,0,69
331,Dominic Sena,"Comedy, Drama, Romance",54,5,57
332,Dominique Othenin-Girard,"Action, Fiction, Science",22,4,2
333,Don Bluth,"Action, Adventure, Drama, Family",22,6,383
334,Don Coscarelli,"Drama, Romance",11,21,152
335,Don Mancini,"Drama, Fiction, Science, Thriller",4,4,64
336,Don Michael Paul,"Comedy, Drama, Romance",20,0,70
337,Don Scardino,"Action, Comedy, Crime, Thriller",59,2,35
338,Don Siegel,"Fiction, Science",50,3,152
339,Don Taylor,"Adventure, Animation, Family",96,1,11
340,Donald Petrie,"Crime, Drama, Mystery, Thriller",38,1,80
341,Doug Atchison,"Drama, Fiction, Science, Thriller",3,4,3
342,Doug Lefler,"Comedy, Drama, Horror, Romance",11,0,4
343,Doug Liman,"Adventure, Comedy",23,9,218
344,Douglas Aarniokoski,"Comedy, Crime, Thriller",23,1,36
345,Douglas Cheek,"Horror, Thriller",3,2,4
346,Douglas McGrath,"Crime, Mystery, Thriller",8,1,41
347,Drake Doremus,"Fiction, Horror, Science",12,15,52
348,Drew Barrymore,"Action, Adventure, Animation, Comedy, Family, Fantasy",3,1,0
349,Drew Goddard,"Action, Adventure, Drama, Thriller",6,1,246
350,Duncan Jones,"Comedy, Drama, Romance",7,1,0
351,Duncan Tucker,"Comedy, Drama",2,12,2
352,Dustin Hoffman,Comedy,2,2,0
353,Dwight H. Little,"Comedy, Drama, Romance",50,0,27
354,E. Elias Merhige,"Comedy, Drama, Romance",12,8,54
355,Ed Gass-Donnelly,"Comedy, Drama",11,10,8
356,Ed Harris,"Action, Crime, Thriller",2,4,0
357,Edgar Wright,"Action, Crime, Drama, Romance, Thriller",26,47,1000
358,Edward Burns,"Action, Adventure, Comedy, Family, Fantasy",17,14,0
359,Edward Dmytryk,"Horror, Thriller",56,1,74
360,Edward Norton,"Comedy, Fantasy, Fiction, Science",2,3,0
361,Edward Zwick,"Adventure, Drama, Romance",25,1,380
362,Elaine May,"Action, Adventure, Thriller",5,2,124
363,Eli Craig,"Comedy, Drama",5,8,27
364,Eli Roth,"Animation, Comedy, Family",15,25,0
365,Elia Kazan,"Drama, Music",21,2,603
366,Elizabeth Allen Rosenbaum,"Drama, Horror, Mystery, Thriller",30,4,20
367,Elizabeth Banks,"Comedy, Drama, Romance",6,3,0
368,Emile Ardolino,Horror,15,1,22
369,Eric Blakeney,"Crime, Drama",2,1,3
370,Eric Bress,"Horror, Thriller",2,3,19
371,Eric Brevig,"Fiction, Mystery, Science, Thriller",4,2,40
372,Eric Darnell,"Drama, Mystery, Thriller",12,6,35
373,Eric Lavaine,"Action, Thriller",12,0,0
374,Ericson Core,Horror,8,2,19
375,Erik Canuel,"Animation, Comedy, Family",38,10,31
376,Etan Cohen,"Action, Adventure, Comedy, Family, Western",6,4,164
377,Eug\u00e8ne Louri\u00e9,"Drama, Romance",0,0,0
378,Eugenio Derbez,"Comedy, Drama",29,12,399
379,F. Gary Gray,"Action, Adventure, Drama",35,18,473
380,Fatih Akin,Comedy,19,93,766
381,Fede Alvarez,"Crime, Drama, Mystery, Thriller",9,7,201
382,Fenton Bailey,"Action, Adventure, Comedy, Drama, Thriller",30,2,13
383,Fergal Reilly,"Action, Comedy, Crime, Family, Fiction, Science, Western",2,0,0
384,Fernando Le\u00f3n de Aranoa,"Documentary, Family",13,80,0
385,Fernando Meirelles,"Adventure, Animation, Comedy, Family, Fantasy, Music",23,1,353
386,Ferzan Ozpetek,"Comedy, Music, Romance",15,89,798
387,Florent-Emilio Siri,Horror,9,3,17
388,Floria Sigismondi,"Comedy, Romance",81,4,50
389,Florian Henckel von Donnersmarck,"Action, Comedy",7,1,207
390,Floyd Mutrux,"Action, Adventure, Thriller, War",5,0,11
391,Fran\u00e7ois Girard,"Drama, History",15,21,0
392,Fran\u00e7ois Ozon,Comedy,0,0,0
393,Francis Ford Coppola,"Horror, Mystery, Thriller",36,5,0
394,Francis Lawrence,Horror,79,21,508
395,Franco Zeffirelli,Drama,26,2,160
396,Frank Capra,"Action, Crime, Drama, Thriller",59,3,964
397,Frank Coraci,"Comedy, Romance",13,0,153
398,Frank Darabont,Comedy,11,3,0
399,Frank Marshall,"Action, Adventure, Comedy, Crime, Thriller",13,5,155
400,Frank Miller,"Action, Fiction, Science",3,7,436
401,Frank Oz,"Comedy, Drama",17,1,0
402,Franklin J. Schaffner,"Animation, Family, Music",35,1,76
403,Fred Dekker,"Action, Adventure, Mystery, Thriller",6,3,87
404,Fred Savage,Comedy,69,2,0
405,Fred Wolf,"Drama, Fantasy, Mystery, Thriller",10,2,29
406,Fred Zinnemann,"Comedy, Drama, Family, Fantasy",47,4,160
407,Frederik Du Chau,"Drama, Romance",4,0,7
408,Fritz Lang,"Animation, Comedy, Family",46,14,756
409,Fyodor Bondarchuk,"Comedy, Drama, Family, Foreign, Music",11,36,0
410,G\u00e1bor Csup\u00f3,Drama,0,0,0
411,Gabriele Muccino,"Adventure, Comedy, Horror",21,43,125
412,Gareth Edwards,"Comedy, Drama, Romance",7,1,380
413,Gareth Evans,"Action, Crime, Drama, Thriller",10,20,338
414,Garry Marshall,"Drama, Thriller",30,5,0
415,Garth Jennings,"Drama, Romance",27,18,37
416,Gary Chapman,"Action, Adventure, Comedy, Family, Fantasy",0,1,2
417,Gary David Goldberg,Comedy,3,2,30
418,Gary Fleder,"Comedy, Romance",45,6,39
419,Gary Goldman,"Drama, History, War",10,4,0
420,Gary McKendry,"Adventure, Animation, Drama, Family",2,1,5
421,Gary Nelson,"Animation, Comedy, Family, Fantasy",97,1,20
